date,symbol,open,high,low,close,adj_close,volume
10/18/2024,RNEW,24.8814,24.8814,0,24.8814,24.8814,5
10/18/2024,AAPL,236.18,236.18,234.01,235,235,45441281
10/18/2024,ADBE,491.29,499,491.05,494.86,494.86,1905088
10/18/2024,AMZN,187.15,190.74,186.28,188.99,188.99,36566996
10/18/2024,AXP,276.8,279.2,269.05,276.79,276.79,7869044
10/18/2024,BABA,103.37,103.37,101.66,102.41,102.41,19646659
10/18/2024,BAC,42.43,42.65,42.11,42.33,42.33,25717694
10/18/2024,CRM,292.04,294.71,290.15,292.94,292.94,3074928
10/18/2024,CSCO,56.41,56.87,56.21,56.74,56.74,16142036
10/18/2024,GOOG,164.87,166.37,164.75,165.05,165.05,12717581
10/18/2024,INTC,22.61,22.82,22.5,22.78,22.78,34377003
10/18/2024,JPM,225,225.92,223.1,225.5,225.5,5364080
10/18/2024,MA,514.54,518,512.58,516.45,516.45,1874671
10/18/2024,MSFT,417.14,419.65,416.26,418.16,418.16,15820564
10/18/2024,NFLX,737.64,766.28,736.23,763.89,763.89,15827594
10/18/2024,NVDA,138.665,138.9,137.28,138,138,169234338
10/18/2024,PYPL,79.5,80.97,78.94,80.95,80.95,8266294
10/18/2024,TSLA,220.71,222.28,219.23,220.7,220.7,49126022
10/18/2024,V,289.92,291.04,288.08,290.62,290.62,5169205
10/18/2024,WFC,64.41,64.78,63.83,64.36,64.36,18231260
10/18/2024,A,138.53,139.52,137.24,138.88,138.88,951715
10/18/2024,AA,41.77,42.17,40.85,41.71,41.71,4489893
10/18/2024,AAA,25.14,25.14,25.09,25.13,25.13,4619
10/18/2024,AAAU,26.77,26.91,26.76,26.9,26.9,2126761
10/18/2024,AABB,0.0315,0.0326,0.0301,0.0308,0.0308,4854824
10/18/2024,AACAY,4.15,4.28,4.15,4.22,4.22,21761
10/18/2024,AACG,1,1.01,0.98,1,1,37054
10/18/2024,AACTF,0.0207,0.0208,0.0195,0.0195,0.0195,8500
10/18/2024,AADI,2.15,2.17,2.07,2.11,2.11,126137
10/18/2024,AADR,65.67,65.83,65.59,65.66,65.66,3618
10/18/2024,AAGC,0.0009,0.001,0.0009,0.0009,0.0009,4225065
10/18/2024,AAGFF,0.3948,0.45,0.3948,0.43,0.43,718026
10/18/2024,AAGIY,32.67,32.77,32.46,32.66,32.66,199515
10/18/2024,AAL,12.86,13.24,12.76,13.09,13.09,38038325
10/18/2024,AAME,1.66,1.68,1.63,1.63,1.63,3320
10/18/2024,AAOI,19.2,20.34,18.34,18.55,18.55,2797937
10/18/2024,AAON,110.71,111.36,109.2,109.34,109.34,524547
10/18/2024,AAP,39.81,40.46,39.57,39.82,39.82,1095932
10/18/2024,AAPB,30.56,30.56,30.11,30.29,30.29,81191
10/18/2024,AAPD,16.25,16.39,16.25,16.32,16.32,229849
10/18/2024,AAPU,38.71,38.72,38.11,38.37,38.37,553273
10/18/2024,AASZF,0.01,0.0101,0.0088,0.0095,0.0095,1682681
10/18/2024,AAT,27.91,28.39,27.78,28.22,28.22,173520
10/18/2024,AATC,7.4,7.49,7.25,7.3,7.3,6655
10/18/2024,AAVMY,16.88,16.95,16.85,16.88,16.88,12548
10/18/2024,AAWH,0.746,0.8168,0.746,0.7999,0.7999,57258
10/18/2024,AAXJ,79.03,79.03,78.57,78.63,78.63,854067
10/18/2024,AB,38.5,38.96,38.5,38.68,38.68,270644
10/18/2024,ABBRF,2.07,2.19,2.07,2.19,2.19,336034
10/18/2024,ABBV,188.97,189.69,188.16,188.86,188.86,5607902
10/18/2024,ABCFF,0.0175,0.0179,0.0175,0.0179,0.0179,21987
10/18/2024,ABCL,2.69,2.89,2.69,2.87,2.87,3152985
10/18/2024,ABCP,0.347,0.355,0.33,0.3511,0.3511,137700
10/18/2024,ABEO,6.7,6.73,6.63,6.67,6.67,82011
10/18/2024,ACGLO,23.61,23.78,23.53,23.6,23.6,38103
10/18/2024,ACHC,59.08,60.52,51.17,52,52,6191967
10/18/2024,ACHFF,1.5,1.52,1.43,1.52,1.52,5400
10/18/2024,ACHR,3.2,3.28,3.18,3.19,3.19,6430296
10/18/2024,ACHV,5.06,5.13,5.06,5.07,5.07,78672
10/18/2024,ACI,18.88,19.04,18.42,18.99,18.99,5181917
10/18/2024,ACIO,40.47,40.47,40.3,40.43,40.43,129593
10/18/2024,ACIU,3.26,3.37,3.06,3.15,3.15,122261
10/18/2024,ACIW,51.48,51.72,50.6,50.66,50.66,592282
10/18/2024,ACLHF,0.0333,0.0353,0.0328,0.0338,0.0338,40742
10/18/2024,ACLLF,35.6,35.6,35.6,35.6,35.6,5795
10/18/2024,ACLS,94.53,94.74,92.16,92.27,92.27,547420
10/18/2024,ACLX,95.9,97.54,94.44,96.88,96.88,526942
10/18/2024,ACM,107.84,107.93,106.62,107.89,107.89,481533
10/18/2024,ACMR,19.74,20.25,19.13,19.21,19.21,1533498
10/18/2024,ACN,375.51,377.33,373.65,376.86,376.86,1880855
10/18/2024,ACNB,43.95,44.31,43.95,43.98,43.98,6171
10/18/2024,ACNT,9.35,9.44,9.04,9.17,9.17,36277
10/18/2024,ACOGF,0.39,0.4688,0.39,0.4688,0.4688,153886
10/18/2024,ACON,0.18,0.18,0.172,0.177,0.177,112692
10/18/2024,ACPS,0.3,0.3,0.3,0.3,0.3,0
10/18/2024,ACR,15.37,15.67,15.37,15.67,15.67,7757
10/18/2024,ACRDF,0.149,0.149,0.116,0.14,0.14,121738
10/18/2024,ACRE,6.68,6.76,6.67,6.72,6.72,232493
10/18/2024,ACRHF,0.1761,0.2,0.1761,0.1811,0.1811,15898
10/18/2024,ACRL,0.0013,0.0015,0.0012,0.0014,0.0014,484100
10/18/2024,ACRS,1.17,1.22,1.17,1.19,1.19,190712
10/18/2024,ACRV,7.89,8.36,7.77,8.25,8.25,71807
